iter	Logloss
0	0.5873069665
1	0.5076054793
2	0.451005262
3	0.4016957184
4	0.3635382617
5	0.3358876383
6	0.3140727296
7	0.2963321663
8	0.2802166707
9	0.2692138118
10	0.2587419085
11	0.2508670052112	0.2443871408113	0.2390104037114	0.2345628944115	0.2319304918116	0.228913313117	0.2262852155118	0.2244520307119	0.2225945405220	0.2204588828221	0.2190080795222	0.2171868252223	0.2163655972424	0.2156197425	25	0.2150165526	26	0.2145431027	27	0.21397424228	0.2133659691229	0.2130870214330	0.2125984814331	0.2121147421332	0.2119158102333	0.2116443256334	0.2111555012335	0.2105520273336	0.2102323837	37	0.2097352338	38	0.2094366439	39	0.2092902740	40	0.2090157541	41	0.2088392642	42	0.2086659143	43	0.2083450844	44	0.2082377945	45	0.2080974846	46	0.2079804047	47	0.207752184848	0.2075983149	0.207331071
50	0.2072435269
51	0.2071337025
52	0.2070230524
53	0.2069040218
54	0.2068374889
55	0.2067737455
56	0.2066937772
57	0.2066228025
58	0.2065472637
59	0.2064660668
60	0.2063770417
61	0.2063086752
62	0.2062462007
63	063	0.206387964	0.2061346796
65	0.2060862168
66	0.2060236495
67	0.2059463103
68	0.2059013328
69	0.2058355377
70	0.2057840792
71	0.2057277021
72	0.2056882884
73	0.2056358737
74	0.2055815211
75	0.2054874754
76	0.2054403783
77	0.2053460837
78	0.2052852547
79	0.2052423353
80	0.2051514822
81	0.2051136916
82	0.2050360699
83	0.2049846004
84	0.204942824
85	0.2048913097
86	0.2048382695
87	0.204792012
88	0.2047252479
89	0.2046963678
90	0.2046545918
91	0.2045954074
92	0.2045502969
93	0.204490906
94	0.2044502377
95	0.204408471
96	0.2043680936
97	0.2043371951
98	0.2043046364
99	0.2042733303
100	0.2042343055
101	0.2042098398
102	0.2041703533
103	0.2041236883
104	0.204046614
105	0.2040145256
106	0.2039649728
107	0.2039260582
108	0.2038808941
109	0.2038433424
110	0.2037921194
111	0.2037433677
112	0.2036946707
113	0.2036509092
114	0.2036111672
115	0.2035727053
116	0.2035432293
117	0.2035036434
118	0.2034517456
119	0.2034222422
120	0.2033894169
121	0.2033392619
122	0.2032981935
123	0.2032547967
124	0.2032107172
125	0.2031570254
126	0.2031120505
127	0.2030804122
128	0.2030444168
129	0.2029967119
130	0.2029671089
131	0.2029357035
132	0.2029100838
133	0.202866037
134	0.2028267783
135	0.2028054926
136	0.2027596537
137	0.2027257841
138	0.2026800058
139	0.2026347127
140	0.2026011594
141	0.2025669259
142	0.2025151438
143	0.2024882666
144	0.2024442496
145	0.202412353
146	0.2023870724
147	0.2023519404
148	0.2023196571
149	0.2022985163
150	0.2022671093
151	0.2022291446
152	0.2021861192
153	0.2021418019
154	0.2021034573
155	0.2020634338
156	0.2020430649
157	0.2020132977
158	0.2019919786
159	0.2019540974
160	0.2019350679
161	0.2018905671
162	0.2018416018
163	0.2018145843
164	0.2017821094
165	0.2017562694
166	0.2017146084
167	0.2016971161
168	0.2016628953
169	0.2016194343
170	0.2015808761
171	0.2015451956
172	0.2014861822
173	0.2014452936
174	0.2014000011
175	0.2013601755
176	0.2013092675
177	0.2012693643
178	0.2012323439
179	0.2011964861
180	0.20116479
181	0.2011258589
182	0.2010939788
183	0.2010530611
184	0.2010405657
185	0.2010119732
186	0.2009766549
187	0.2009471355
188	0.2009052393
189	0.2008597101
190	0.2008239954
191	0.2007863158
192	0.2007363184
193	0.2006986111
194	0.2006624148
195	0.2006164388
196	0.2005822783
197	0.200546995
198	0.200514831
199	0.2004919014
200	0.2004580296
201	0.2004209229
202	0.2004020109
203	0.2003574592
204	0.200322708
205	0.2002920709
206	0.20026337
207	0.2002257446
208	0.2001970759
209	0.2001622883
210	0.2001273874
211	0.2000856391
212	0.2000670749
213	0.2000383234
214	0.1999962715
215	0.1999653374
216	0.1999506909
217	0.1999111866
218	0.1998707468
219	0.1998360539
220	0.1998050567
221	0.1997702953
222	0.1997318452
223	0.1996947349
224	0.1996631226
225	0.1996424874
226	0.1996121855
227	0.1995796898
228	0.1995578547
229	0.1995280257
230	0.1994903865
231	0.1994569656
232	0.199418472
233	0.1993956333
234	0.1993757062
235	0.1993473272
236	0.1993190318
237	0.1992834297
238	0.1992581473
239	0.1992334735
240	0.1992124351
241	0.1991806766
242	0.1991485314
243	0.1991022606
244	0.1990664827
245	0.1990349506
246	0.1990206826
247	0.1989997087
248	0.1989771585
249	0.1989490327
250	0.1989062692
251	0.198878973
252	0.1988378307
253	0.1988177522
254	0.1987900972
255	0.1987525187
256	0.1987223181
257	0.1986901818
258	0.1986531823
259	0.198638436
260	0.1985974464
