iter	Passed	Remaining
0	220	220746
1	311	155235
2	401	133590
3	477	118861
4	563	112089
5	655	108526
6	741	105163
7	836	103702
8	937	103227
9	1037	102726110	1126	101301111	1207	99401212	1291	98021313	1368	96401414	1459	95821515	1542	94851616	1628	94171717	1717	93671818	1789	92411919	1870	91632020	1960	91402121	2054	91312222	2137	90792323	2217	90152424	2299	89692525	2377	89072626	2469	89012727	2539	88162828	2618	87672929	2707	87553030	2800	87543131	2882	87213232	2978	87283333	3063	87033434	3132	86353535	3223	86313636	3312	86213737	3408	86283838	3486	85913939	3574	85794040	3656	85524141	3744	85404242	3824	85104343	3915	85074444	3990	84684545	4086	84744646	4174	84654747	4257	84444848	4346	843549	4437	84308
50	4537	84434
51	4632	84449
52	4717	84291
53	4805	84182
54	4892	84064
55	4982	83997
56	5070	83885
57	5172	84014
58	5264	83959
59	5354	83891
60	5442	83778
61	5523	83559
62	5603	83345
6363	5695	832964	5777	83101
65	5869	83058
66	5961	83015
67	6066	83145
68	6161	83140
69	6259	83163
70	6357	83182
71	6444	83065
72	6564	83361
73	6651	83238
74	6749	83247
75	6871	83541
76	6991	83811
77	7111	84058
78	7209	84054
79	7285	83787
80	7378	83712
81	7473	83665
82	7573	83668
83	7667	83611
84	7759	83531
85	7855	83491
86	7956	83493
87	8044	83370
88	8139	83316
89	8227	83193
90	8320	83109
91	8398	82892
92	8487	82774
93	8585	82750
94	8673	82628
95	8760	82491
96	8844	82334
97	8942	82310
98	9038	82257
99	9128	82153
100	9209	81973
101	9307	81946
102	9398	81844
103	9483	81705
104	9565	81534
105	9651	81397
106	9746	81341
107	9832	81211
108	9937	81235
109	10030	81156
110	10122	81073
111	10221	81045
112	10319	81000
113	10393	80780
114	10494	80761
115	10580	80627
116	10652	80396
117	10744	80308
118	10825	80145
119	10911	80014
120	11010	79988
121	11109	79954
122	11183	79740
123	11275	79653
124	11354	79480
125	11442	79367
126	11531	79266
127	11630	79230
128	11723	79157
129	11816	79082
130	11919	79068
131	12026	79084
132	12117	78993
133	12205	78877
134	12289	78742
135	12365	78558
136	12458	78477
137	12538	78317
138	12622	78185
139	12711	78083
140	12798	77968
141	12892	77901
142	12998	77897
143	13077	77735
144	13170	77658
145	13262	77578
146	13349	77464
147	13448	77422
148	13552	77403
149	13629	77232
150	13722	77152
151	13809	77041
152	13911	77012
153	14003	76926
154	14085	76786
155	14176	76700
156	14263	76586
157	14346	76455
158	14436	76359
159	14514	76201
160	14596	76065
161	14698	76030
162	14788	75938
163	14882	75866
164	14984	75830
165	15080	75764
166	15178	75708
167	15279	75668
168	15376	75607
169	15455	75459
170	15537	75325
171	15616	75178
172	15704	75071
173	15799	75001
174	15899	74956
175	16003	74924
176	16106	74892
177	16215	74881
178	16307	74797
179	16400	74712
180	16513	74721
181	16620	74702
182	16722	74656
183	16815	74571
184	16915	74521
185	17007	74430
186	17107	74377
187	17204	74307
188	17324	74340
189	17416	74251
190	17524	74228
191	17612	74119
192	17724	74113
193	17820	74037
194	17939	74058
195	18031	73965
196	18137	73932
197	18224	73819
198	18327	73771
199	18413	73653
200	18513	73594
201	18616	73545
202	18713	73472
203	18806	73380
204	18928	73407
205	19035	73368
206	19140	73325
207	19244	73278
208	19342	73206
209	19436	73118
210	19547	73095
211	19643	73016
212	19742	72944
213	19851	72914
214	19966	72901
215	20067	72836
216	20171	72784
217	20274	72727
218	20371	72648
219	20445	72489
220	20538	72396
221	20640	72335
222	20737	72255
223	20826	72148
224	20918	72052
225	21017	71981
226	21122	71926
227	21208	71812
228	21319	71778
229	21412	71684
230	21511	71612
231	21609	71534
232	21700	71434
233	21785	71316
234	21879	71223
235	21972	71131
236	22068	71046
237	22157	70941
238	22253	70858
239	22350	70775
240	22445	70688
241	22530	70571
242	22627	70491
243	22725	70411
244	22819	70320
245	22915	70236
246	23006	70135
247	23093	70024
248	23188	69938
249	23265	69796
250	23347	69669
251	23445	69593
252	23536	69493
253	23620	69373
254	23712	69276
255	23783	69120
256	23878	69035
257	23957	68900
258	24046	68797
259	24139	68704
260	24228	68600
261	24323	68515
262	24399	68374
263	24492	68281
264	24570	68147
265	24655	68034
266	24743	67929
267	24829	67819
268	24921	67723
269	25019	67645
270	25115	67561
271	25207	67466
272	25288	67342
273	25393	67282
274	25478	67169
275	25567	67068
276	25658	66971
277	25747	66869
278	25843	66784
279	25944	66713
280	26036	66619
281	26139	66553
282	26251	66511
283	26348	66429
284	26434	66317
285	26519	66206
286	26619	66131
287	26706	66023
288	26798	65931
289	26887	65828
290	26975	65723
291	27069	65633
292	27153	65519
293	27254	65448
294	27338	65335
295	27435	65251
296	27527	65158
297	27615	65054
298	27707	64960
299	27810	64892
300	27918	64834
301	28013	64746
302	28108	64659
303	28189	64539
304	28271	64421
305	28356	64312
306	28437	64193
307	28535	64112
308	28624	64010
309	28717	63920
310	28813	63834
311	28900	63729
312	28984	63618
313	29081	63534
314	29173	63439
315	29261	63338
316	29343	63222
317	29442	63144
318	29543	63070
319	29647	63001
320	29730	62888
321	29812	62771
322	29906	62682
323	29997	62586
324	30075	62465
325	30165	62367
326	30242	62241
327	30336	62151
328	30428	62059
329	30526	61978
330	30620	61889
331	30695	61760
332	30798	61690
333	30893	61602
334	30974	61486
335	31068	61397
336	31158	61299
337	31243	61193
338	31329	61088
339	31436	61023
340	31522	60918
341	31605	60809
342	31686	60694
343	31794	60630
344	31874	60514
345	31974	60437
346	32055	60322
347	32130	60198
348	32218	60097
349	32298	59982
350	32396	59900
351	32484	59801
352	32565	59688
353	32656	59593
354	32745	59495
355	32835	59398
356	32931	59313
357	33015	59206
358	33098	59098
359	33187	58999
360	33274	58898
361	33360	58796
362	33451	58700
363	33525	58578
364	33616	58483
365	33708	58391
366	33815	58325
367	33909	58235
368	33999	58140
369	34088	58042
370	34184	57956
371	34279	57869
372	34370	57775
373	34465	57687
374	34546	57576
375	34638	57485
376	34721	57377
377	34826	57307
378	34909	57199
379	34999	57104
380	35091	57012
381	35169	56896
382	35250	56787
383	35350	56707
384	35442	56616
385	35539	56531
386	35636	56447
387	35720	56343
388	35803	56236
389	35889	56134
390	35998	56069
391	36087	55973
392	36193	55901
393	36280	55802
394	36366	55700
395	36467	55621
396	36555	55523
397	36642	55424
398	36726	55320
399	36820	55230
400	36905	55128
401	36988	55022
402	37088	54941
403	37186	54858
404	37270	54755
405	37358	54657
406	37439	54548
407	37518	54437
408	37608	54344
409	37693	54242
410	37788	54154
411	37891	54078
412	37978	53979
413	38074	53893
414	38166	53801
415	38257	53707
416	38352	53620
417	38432	53511
418	38517	53409
419	38601	53307
420	38673	53187
421	38771	53104
422	38855	423	39423	38962	52930
424	39058	52843
425	39149	52750
426	39239	52655
